,Unnamed: 0,State,City,Population,Total (Violent and Property),Murder/Manslaughter,Rape,Robbery,Assault,Total Violent,Burglary,Larceny/Theft,Vehicle Theft,Total Property,Arson,blue,adm1_code,population,geometry
0,0,Alabama,Mobile,248431,6217.02,20.13,58.16,177.11,485.85,740.25,1216.84,3730.21,506.78,5453.83,22.94,Red,USA-3541,4779736,"POLYGON ((-85.054415 31.108696, -85.005193 30.990693, -87.045663 30.984879, -87.617153 30.927725, -87.633043 30.851528, -87.404969 30.608649, -87.457886 30.411271, -87.530388 30.274199, -88.417802 30.384812, -88.449531 31.91198, -88.27334 33.510048, -88.095522 34.805989, -88.166964 34.999673, -86.909677 34.99913, -85.625388 34.985901, -85.365559 33.744478, -85.129553 32.750714, -84.986151 32.437969, -84.898843 32.259117, -85.063924 32.083417, -85.119502 31.7654, -85.065526 31.577013, -85.090382 31.40028, -85.1179 31.236233, -85.054415 31.108696))"
1,2,Arizona,Chandler,249355,2589.08,2.01,52.13,56.95,148.68,259.47,314.41,1866.01,149.18,2329.61,24.661956521739135,Blue,USA-3520,6392017,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))"
2,3,Arizona,Gilbert,242090,1483.75,2.07,16.11,21.07,46.26,85.51,192.49,1137.59,55.76,1385.85,12.39,Blue,USA-3520,6392017,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))"
3,4,Arizona,Glendale,249273,5037.85,4.81,38.91,192.96,251.53,488.22,637.45,3426.36,466.56,4530.37,19.26,Blue,USA-3520,6392017,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))"
4,5,Arizona,Mesa,492268,2592.49,4.67,51.19,92.23,267.74,415.83,381.5,1610.91,179.58,2171.99,4.67,Blue,USA-3520,6392017,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))"
5,6,Arizona,Phoenix,1608139,4443.2,9.55,69.46,200.28,481.64,760.93,778.57,2426.69,465.46,3670.71,11.56,Blue,USA-3520,6392017,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))"
6,7,Arizona,Scottsdale,251840,2338.38,1.99,40.9,39.71,74.65,157.24,348.63,1725.7,97.68,2172.01,9.13,Blue,USA-3520,6392017,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))"
7,8,Arizona,Tucson,532323,6082.78,8.64,93.55,268.82,430.75,801.77,831.07,3968.46,452.17,5251.7,29.31,Blue,USA-3520,6392017,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))"
8,9,California,Anaheim,353400,2997.74,2.83,32.54,135.82,183.36,354.56,382.29,1809.0,439.16,2630.45,12.73,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
9,10,California,Bakersfield,381154,4618.34,10.76,24.14,197.56,246.88,479.33,962.08,2377.78,728.58,4068.43,70.58,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
